sales	ad	reps	eff	fair	good	outstand
260.30	5	3	4	0	0	1
286.10	7	5	2	1	0	0
279.40	6	3	3	0	1	0
410.80	9	4	4	0	0	1
438.20	12	6	1	0	0	0
315.30	8	3	4	0	0	1
565.10	11	7	3	0	1	0
570.00	16	8	2	1	0	0
426.10	13	4	3	0	1	0
315.00	7	3	4	0	0	1
403.60	10	6	1	0	0	0
220.50	4	4	1	0	0	0
343.60	9	4	3	0	1	0
644.60	17	8	4	0	0	1
520.40	19	7	2	1	0	0
329.50	9	3	2	1	0	0
426.00	11	6	4	0	0	1
343.20	8	3	3	0	1	0
450.40	13	5	4	0	0	1
421.80	14	5	2	1	0	0
245.60	7	4	4	0	0	1
503.30	16	6	3	0	1	0
375.70	9	5	3	0	1	0
265.50	5	3	3	0	1	0
620.60	18	6	4	0	0	1
450.50	18	5	3	0	1	0
270.10	5	3	2	1	0	0
368.00	7	6	2	1	0	0
556.10	12	7	1	0	0	0
570.00	13	6	4	0	0	1
318.50	8	4	3	0	1	0
260.20	6	3	2	1	0	0
667.00	16	8	2	1	0	0
618.30	19	8	2	1	0	0
525.30	17	7	4	0	0	1
332.20	10	4	3	0	1	0
393.20	12	5	3	0	1	0
283.50	8	3	3	0	1	0
376.20	10	5	4	0	0	1
481.80	12	5	2	1	0	0
