"tx","wc","x","y"
1,4,6.8541641235,3
1,32,29.893615723,2
0,0,108.42547607,0
1,27,63.583312988,0
0,0,54.541656494,84
0,0,23.914886475,5
0,0,47.297851563,34
0,0,138.5625,105
0,0,25.708328247,2
0,0,291.0625,17
0,0,62.166656494,192
1,34,164.70825195,235
1,11,102.27081299,175
0,0,22.957443237,3
1,47,45.583312988,40
1,47,35.489349365,0
0,0,54.422210693,2
0,0,31.916656494,16
0,0,275.72900391,2
0,0,81.979125977,2
0,0,42.148925781,7
1,10,131.6875,394
0,0,19.854156494,72
0,0,49.133331299,0
1,15,91.541625977,16
0,0,12.021270752,0
0,0,131.72338867,3
0,0,81.479125977,2
1,166,26.5625,7
0,0,53.583312988,69
1,12,43.958312988,112
1,11,23.617019653,297
0,0,136.04162598,83
0,0,91.416625977,615
0,0,43.5,1
1,18,80.020812988,20
0,0,53.4375,2
0,0,129.10412598,231
0,0,115.1875,672
0,0,74.729125977,331
0,0,0.9761900902,0
1,19,224.20825195,188
1,3,36.416656494,21
1,13,95.510620117,487
0,0,7.1914863586,19
1,4,152.375,193
1,69,100.9375,1
0,0,48.270812988,25
1,14,27.9375,2
0,0,40.0625,22
0,0,185.70825195,637
1,3,41.787231445,20
1,10,113.39581299,155
1,20,32.234039307,0
0,0,47.645812988,141
0,0,39.3125,20
0,0,32.604156494,5
1,8,268.9375,254
0,0,44.145812988,41
0,0,6.9166641235,0
1,18,58.854156494,327
1,13,51.08694458,3
1,10,28.854156494,1
0,0,15,0
0,0,35.416656494,2
0,0,115.10412598,8
1,30,108.22912598,211
0,0,76.723388672,0
0,0,70.020812988,340
1,14,53.847808838,0
0,0,4,0
1,4,21.478256226,0
0,0,46.395812988,7
0,0,42.829772949,208
0,0,244.10412598,1
0,0,49.723388672,40
0,0,9.6097488403,0
0,0,143.3125,31
0,0,39.875,15
1,22,40.208312988,59
0,0,34.5625,30
0,0,12.717384338,0
0,0,0.6842103004,0
1,22,27.520828247,18
1,12,20.75,966
1,13,6.2272720337,0
1,153,12.375,0
1,43,29.854156494,0
0,0,22.113632202,0
0,0,123.25,107
1,2,89.145812988,3
1,20,54.833312988,121
0,0,43.375,3
0,0,51.875,76
1,8,96.145812988,417
0,0,173.79162598,2
0,0,60.145812988,109
0,0,0.0833333135,0
0,0,11.416664124,5
0,0,95.083312988,9
0,0,16.270828247,0
0,0,27.729156494,64
0,0,24.666656494,0
0,0,14.604164124,12
1,9,118.95831299,42
0,0,14.5,41
0,0,336.47900391,5
0,0,66.956481934,4
0,0,1.8571424484,0
0,0,23.9375,51
0,0,60.3125,14
1,26,129.02172852,0
1,12,40.833312988,60
0,0,17.1875,0
1,2,118.35412598,8
0,0,76.479125977,219
1,31,35.510620117,61
0,0,24.854156494,0
1,25,169.16662598,530
0,0,7.9574432373,0
0,0,6.4565200806,0
0,0,1.8936166763,2
0,0,45.458312988,142
0,0,14.5,0
1,26,97.354125977,357
0,0,159.85412598,34
0,0,104.5,21
0,0,73.425476074,406
1,15,60.645812988,0
0,0,24.875,64
0,0,249.72912598,310
0,0,238.02075195,587
0,0,129,204
1,3,112.97912598,12
0,0,88.375,11
1,62,17.399993896,0
1,15,70.020812988,105
0,0,153.20825195,502
0,0,48.583312988,20
1,48,106.83331299,33
1,104,54.8125,0
