"id","train","target"
957,0,44.94
2062,0,0
2232,1,0
2623,0,0
3000,1,0
3689,0,0
4251,0,0
4642,0,0
5002,0,0
6084,0,44
6130,0,0
6610,0,0
6670,1,0
7072,1,0
7285,1,0
7862,0,0
8648,0,0
9121,0,0
9377,0,0
9423,1,0
9784,0,0
10855,0,0
11134,1,0
13978,1,0
14001,0,0
14389,1,0
14575,0,24.95
15113,1,0
15652,0,0
16004,1,0
16470,0,0
17167,1,0
17221,1,0
17540,1,0
17655,0,0
20010,0,0
20117,0,0
20311,1,0
21210,0,0
21733,0,0
22225,1,0
22373,0,0
23124,1,0
23167,0,0
23736,0,0
24945,1,9.95
26042,0,0
26417,0,0
27707,0,0
28258,0,0
28398,0,79.55
28495,1,0
28827,1,0
29084,0,0
29823,0,0
30589,0,0
30805,0,0
31046,0,0
31224,0,0
31496,1,0
31518,1,0
32247,0,0
33006,0,101.84
33618,0,0
33960,0,0
34258,0,0
34681,1,0
35874,1,0
36293,0,0
36870,0,0
37362,1,0
38202,0,0
39217,1,0
39314,1,0
40185,0,0
40614,1,0
40622,0,42.92
40720,1,0
41173,1,0
41947,0,0
42200,1,0
42854,1,0
43400,1,0
44300,1,107.22
44326,0,0
44687,1,0
44750,0,0
45128,1,0
45365,0,0
45497,0,0
45772,0,8.9
45861,0,0
46019,0,0
48186,0,0
49093,0,0
49182,0,0
49190,0,0
49735,0,0
49778,0,0
50962,0,0
51292,0,0
51691,0,0
52604,1,0
52671,1,14.9
52965,1,0
53066,1,0
53627,1,0
53830,0,0
54003,1,0
54542,0,0
55247,0,0
56774,0,0
56782,0,0
57576,1,0
58114,0,0
58181,1,56.76
58572,0,0
58629,1,0
58912,0,0
59145,0,0
59587,1,0
59935,0,0
60623,1,0
62073,0,0
62790,0,0
63169,0,0
63495,0,0
63797,1,0
65056,1,0
65420,0,0
65676,0,0
65820,0,0
65854,0,0
65870,0,0
66699,1,0
66702,0,0
67512,0,0
67598,1,40.4
67636,0,0
67806,1,81.78
67857,1,0
67970,1,126.44
68624,0,0
68691,1,0
68888,0,0
69469,1,0
69841,0,0
69930,0,0
70343,0,0
71226,0,0
71269,0,0
71790,1,0
71943,1,0
72028,0,0
72079,0,0
73385,0,0
73695,0,0
73717,0,0
74012,1,0
