enrolldt,price,downpmt,monthdue,pmttype,use,age,gender,default
19970501,999,50,2.75,1,0,28,1,1
19970310,1179,50,10,1,0,22,2,1
19970213,840.29,50,11,1,0,28,2,1
19970716,1166.94,50,4.33,5,0,28,2,1
19970121,979,37,8.5,1,0,29,2,1
19970122,345.72,5,28,1,0,32,1,1
19970404,599,25,5.5,4,0,21,2,1
19970604,1276.27,46,5.96,1,0,25,1,1
19970201,814.95,25,5.83,1,0,29,2,1
19970203,689,35,4,1,0,25,1,1
19970228,712.49,5,23,1,0,22,1,1
19970205,999,50,2.75,1,0,29,2,1
19970306,599,26,5.5,1,0,24,1,1
19970115,1059.77,40,5.96,1,0,23,1,1
19970530,1105.47,100,14,1,0,0,2,1
19970521,1108,70,8.5,1,0,0,2,1
19970602,417.96,35,24,1,0,27,2,1
19970303,1538.67,75,5.92,1,0,24,1,1
19970425,1680.57,88,17,1,0,32,2,1
19970303,1179,50,10,1,0,0,1,1
19970501,2358,100,10,1,0,0,1,1
19970602,859,35,8.5,1,0,33,1,1
19970126,599,25,5.5,1,0,34,1,1
19970321,759,150,2.75,1,0,31,1,1
19970228,859,5,5.5,1,0,30,1,1
19970530,999,40,5.5,1,0,44,2,1
19970605,929.87,50,5.96,1,0,25,1,1
19970904,645.43,1,4,4,0,24,1,1
19980401,1154,75,5.1,1,0,30,2,1
19970730,449,19,4,1,0,23,1,1
19970920,1059.77,1,5.96,1,0,29,2,1
19970703,949,50,4,5,0,0,2,1
19980203,1248,30,6,1,0,22,1,1
19980114,1545.81,30,5.51,1,0,52,2,1
19980202,1216.73,75,11,1,0,28,1,1
19971022,1079,150,15,1,0,42,2,1
19980217,702.54,25,6.5,1,0,47,1,1
19980202,1081.42,5,6.5,1,0,29,1,1
19971223,899,100,4,1,0,20,1,1
19980211,879,75,6,1,0,26,1,1
19980127,1059.77,10,5.51,1,0,25,2,1
19980128,648.42,25,5.51,1,0,21,1,1
19980117,1476.83,100,5.5,1,0,39,2,1
19980326,1566.32,100,14,1,0,24,1,1
19980424,899,100,13.5,1,0,26,1,1
19980219,2201.36,50,29,1,0,22,1,1
19980321,781.71,75,19,1,0,24,1,1
19980211,1081.42,40,6.5,1,0,38,2,1
19980208,1248,55,6,1,0,42,2,1
19980211,619,26,6,1,0,32,1,1
19980211,879,36,6,1,0,18,1,1
19981120,797.69,50,4,3,0,31,2,1
19980402,1248,75,6,1,0,21,1,1
19980502,1248,100,15,1,0,21,1,1
19980720,1162.61,25,5.96,3,0,27,1,1
19981109,559.23,25,8,3,0,21,2,1
19981121,1285.93,25,8,3,1,19,1,1
19981114,1297.92,25,8,3,1,28,1,1
19981129,899,75,8,3,0,47,1,1
19981117,899,150,8,3,0,19,1,1
19990202,1864.07,55,8,3,0,37,2,1
