startlen bigT cancel count
1 1 0 7
1 2 0 4
1 2 1 296
1 3 0 13
1 3 1 1318
1 4 0 22
1 4 1 2403
1 5 0 26
1 5 1 1926
1 6 0 148
1 6 1 1871
1 7 0 145
1 7 1 1806
1 8 0 260
1 8 1 1633
1 9 0 132
1 9 1 1461
1 10 0 75
1 10 1 1187
1 11 0 145
1 11 1 1070
1 12 0 622
1 12 1 1050
1 13 0 279
1 13 1 1125
1 14 0 246
1 14 1 987
1 15 0 342
1 15 1 756
1 16 0 158
1 16 1 693
1 17 0 138
1 17 1 617
1 18 0 53
1 18 1 505
1 19 0 22
1 19 1 468
1 20 0 135
1 20 1 462
1 21 0 90
1 21 1 448
1 22 0 96
1 22 1 427
1 23 0 81
1 23 1 350
1 24 0 606
1 24 1 404
1 25 0 240
1 25 1 358
1 26 0 211
1 26 1 275
1 27 0 204
1 27 1 237
1 28 0 165
1 28 1 195
1 29 0 158
1 29 1 155
1 30 0 143
1 30 1 171
1 31 0 33
1 31 1 151
1 32 0 199
1 32 1 152
1 33 0 89
1 33 1 115
1 34 0 152
1 34 1 134
1 35 0 79
1 35 1 107
1 36 0 671
1 36 1 117
1 37 0 222
1 37 1 92
1 38 0 189
1 38 1 72
1 39 0 114
1 39 1 69
1 40 0 60
1 40 1 43
1 41 0 10
1 41 1 44
1 42 0 13
1 42 1 46
1 43 0 7
1 43 1 39
1 44 0 61
1 44 1 31
1 45 0 7
1 45 1 24
1 46 0 12
1 46 1 36
1 47 0 77
1 47 1 32
1 48 0 270
1 48 1 36
1 49 0 109
1 49 1 36
1 50 0 81
1 50 1 12
1 51 0 76
1 51 1 19
1 52 0 10
1 52 1 9
1 53 0 14
1 53 1 12
1 54 0 25
1 54 1 13
1 55 0 9
1 55 1 8
1 56 0 70
1 56 1 4
1 57 0 13
1 57 1 9
1 58 0 22
1 58 1 7
1 59 0 48
1 59 1 9
1 60 0 189
1 60 1 4
6 2 1 53
6 3 1 173
6 4 1 295
6 5 1 237
6 6 0 154
6 6 1 232
6 7 0 40
6 7 1 3603
6 8 0 73
6 8 1 540
6 9 0 42
6 9 1 676
6 10 0 22
6 10 1 402
6 11 0 77
6 11 1 145
6 12 0 556
6 12 1 142
6 13 0 215
6 13 1 2412
6 14 0 173
6 14 1 363
6 15 0 194
6 15 1 364
6 16 0 94
6 16 1 206
6 17 0 102
6 17 1 78
6 18 0 76
6 18 1 68
6 19 0 11
6 19 1 1196
6 20 0 138
6 20 1 187
6 21 0 57
6 21 1 205
6 22 0 96
6 22 1 145
6 23 0 59
6 23 1 62
6 24 0 603
6 24 1 71
6 25 0 226
6 25 1 781
6 26 0 168
6 26 1 108
6 27 0 126
6 27 1 106
6 28 0 75
6 28 1 75
6 29 0 77
6 29 1 18
6 30 0 55
6 30 1 22
6 31 0 30
6 31 1 385
6 32 0 147
6 32 1 56
6 33 0 36
6 33 1 68
6 34 0 97
6 34 1 40
6 35 0 56
6 35 1 28
6 36 0 603
6 36 1 19
6 37 0 207
6 37 1 191
6 38 0 148
6 38 1 39
6 39 0 126
6 39 1 30
6 40 0 54
6 40 1 8
6 41 0 6
6 41 1 6
6 42 0 9
6 42 1 7
6 43 0 7
6 43 1 113
6 44 0 48
6 44 1 17
6 45 0 13
6 45 1 18
6 46 0 8
6 46 1 13
6 47 0 50
6 47 1 7
6 48 0 255
6 49 0 103
6 49 1 54
6 50 0 88
6 50 1 12
6 51 0 47
6 51 1 9
6 52 0 8
6 52 1 5
6 53 0 14
6 53 1 4
6 54 0 18
6 54 1 2
6 55 0 12
6 55 1 16
6 56 0 46
6 56 1 12
6 57 0 16
6 57 1 3
6 58 0 18
6 58 1 1
6 59 0 52
6 60 0 228
6 60 1 2
12 2 1 43
12 3 1 64
12 4 1 64
12 5 1 68
12 6 1 55
12 7 1 77
12 8 1 95
12 9 1 73
12 10 1 69
12 11 1 56
12 12 0 457
12 12 1 78
12 13 0 23
12 13 1 1387
12 14 0 23
12 14 1 240
12 15 0 24
12 15 1 219
12 16 0 23
12 16 1 87
12 17 0 22
12 17 1 38
12 18 0 8
12 18 1 41
12 19 0 4
12 19 1 65
12 20 0 28
12 20 1 47
12 21 0 13
12 21 1 37
12 22 0 30
12 22 1 37
12 23 0 29
12 23 1 32
12 24 0 354
12 24 1 28
12 25 0 101
12 25 1 487
12 26 0 73
12 26 1 93
12 27 0 55
12 27 1 81
12 28 0 34
12 28 1 38
12 29 0 25
12 29 1 9
12 30 0 21
12 30 1 17
12 31 0 5
12 31 1 41
12 32 0 57
12 32 1 12
12 33 0 25
12 33 1 15
12 34 0 51
12 34 1 10
12 35 0 31
12 35 1 15
12 36 0 492
12 36 1 8
12 37 0 138
12 37 1 117
12 38 0 97
12 38 1 29
12 39 0 78
12 39 1 16
12 40 0 29
12 40 1 16
12 41 0 3
12 41 1 4
12 42 0 2
12 42 1 5
12 43 1 16
12 44 0 12
12 44 1 8
12 45 0 2
12 45 1 3
12 46 0 6
12 46 1 3
12 47 0 17
12 47 1 2
12 48 0 161
12 48 1 3
12 49 0 41
12 49 1 31
12 50 0 45
12 50 1 7
12 51 0 22
12 51 1 2
12 52 0 4
12 53 0 3
12 53 1 1
12 54 0 2
12 54 1 1
12 55 0 3
12 55 1 5
12 56 0 7
12 57 0 3
12 57 1 2
12 58 0 2
12 58 1 2
12 59 0 24
12 60 0 108
12 60 1 2
