StateCode,Sex,BirthYear,CharacterName,NumOccurences
AK,F,1949,Terry,5
AK,F,1951,Terry,5
AK,F,1952,Terry,7
AK,F,1953,Terry,11
AK,F,1953,Tracy,5
AK,F,1954,Terry,13
AK,F,1955,Terry,15
AK,F,1955,Shannon,5
AK,F,1956,Terry,7
AK,F,1956,Shannon,5
AK,F,1957,Terry,8
AK,F,1958,Terry,10
AK,F,1958,Shannon,6
AK,F,1959,Terry,13
AK,F,1959,Tracy,7
AK,F,1959,Shannon,6
AK,F,1960,Terry,14
AK,F,1960,Tracy,10
AK,F,1961,Tracy,12
AK,F,1961,Terry,8
AK,F,1961,Shannon,6
AK,F,1962,Shannon,10
AK,F,1962,Tracy,9
AK,F,1962,Terry,5
AK,F,1963,Tracy,16
AK,F,1963,Shannon,10
AK,F,1963,Terry,6
AK,F,1964,Tracy,14
AK,F,1964,Shannon,11
AK,F,1965,Tracy,13
AK,F,1965,Shannon,10
AK,F,1965,Allison,6
AK,F,1966,Tracy,16
AK,F,1966,Shannon,7
AK,F,1967,Tracy,21
AK,F,1967,Shannon,16
AK,F,1968,Tracy,32
AK,F,1968,Shannon,21
AK,F,1969,Shannon,26
AK,F,1969,Tracy,22
AK,F,1970,Shannon,47
AK,F,1970,Tracy,21
AK,F,1971,Tracy,31
AK,F,1971,Shannon,27
AK,F,1971,Allison,6
AK,F,1972,Shannon,30
AK,F,1972,Tracy,20
AK,F,1972,Allison,9
AK,F,1973,Shannon,26
AK,F,1973,Tracy,13
AK,F,1973,Allison,6
AK,F,1974,Tracy,22
AK,F,1974,Shannon,21
AK,F,1975,Shannon,21
AK,F,1975,Tracy,19
AK,F,1975,Allison,5
AK,F,1976,Shannon,40
AK,F,1976,Allison,10
AK,F,1976,Tracy,9
AK,F,1976,Ashley,8
AK,F,1977,Shannon,41
AK,F,1977,Tracy,16
AK,F,1977,Allison,7
AK,F,1978,Shannon,34
AK,F,1978,Allison,9
AK,F,1978,Ashley,8
AK,F,1978,Tracy,7
AK,F,1978,Alexis,5
AK,F,1979,Shannon,28
AK,F,1979,Tracy,11
AK,F,1979,Ashley,7
AK,F,1979,Morgan,6
AK,F,1979,Allison,5
AK,F,1980,Shannon,29
